AIMSflightid;AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;AIMSdate;AMOSscheduledoutofservice;AMOSunscheduledoutofservice
010111-WAW-VAR-1511-XY-FBA;XY-FBA;0;0;0;0;1;01-01-2011;2.73;0.0
010111-WAW-VKO-7472-XY-FBA;XY-FBA;3;1;1;37;0;01-01-2011;2.73;0.0
010112-ARN-BTS-1812-XY-ZDY;XY-ZDY;0;0;0;0;1;01-01-2012;0.0;1299.87
010112-BHX-AOI-3955-XY-YTM;XY-YTM;1;1;1;26;0;01-01-2012;0.0;0.47
010112-CWL-TSE-3556-XY-ALV;XY-ALV;0;0;0;0;1;01-01-2012;0.0;10.81
010112-FRA-BLL-9696-XY-LYP;XY-LYP;0;1;0;0;0;01-01-2012;1.48;0.0
010112-INI-AYT-4459-XY-LQZ;XY-LQZ;0;0;0;0;1;01-01-2012;12.3;0.0
010112-LIL-SKP-8262-XY-CMJ;XY-CMJ;0;0;0;0;1;01-01-2012;0.0;1527.42
010112-LTN-BTS-5583-XY-NHZ;XY-NHZ;0;1;1;36;0;01-01-2012;0.0;0.47
010112-MSQ-BFS-2784-XY-OZH;XY-OZH;0;0;0;0;1;01-01-2012;0.0;0.47
010112-NTE-EDI-4622-XY-IOO;XY-IOO;2;1;1;21;0;01-01-2012;0.0;0.47
010112-OSL-TFS-7671-XY-NHZ;XY-NHZ;3;1;1;11;0;01-01-2012;0.0;0.47
010112-TFN-GRQ-1727-XY-PZC;XY-PZC;1;1;1;47;0;01-01-2012;0.0;1806.43
010112-TLS-CIY-6784-XY-YAZ;XY-YAZ;0;0;0;0;1;01-01-2012;0.0;10.81
010113-AYT-GLA-2477-XY-NHZ;XY-NHZ;0;0;0;0;1;02-01-2013;0.0;0.47
010113-CIA-PMO-8258-XY-LQZ;XY-LQZ;1;1;1;38;0;01-01-2013;7.42;0.0
010113-CWL-SUF-8791-XY-LQZ;XY-LQZ;0;0;0;0;1;01-01-2013;7.42;0.0
010113-DBV-ZAG-8842-XY-LYP;XY-LYP;1;1;0;0;0;01-01-2013;0.0;1179.6
010113-GOA-CHQ-4358-XY-OFW;XY-OFW;0;0;0;0;1;01-01-2013;0.0;10.81
010113-GOA-VCE-5597-XY-IWX;XY-IWX;0;0;0;0;1;01-01-2013;0.0;0.47
010113-HAM-REU-6429-XY-YTM;XY-YTM;2;1;1;22;0;01-01-2013;0.0;0.47
010113-KRS-TSF-6416-XY-LQZ;XY-LQZ;1;1;1;31;0;01-01-2013;7.42;0.0
010113-LUG-EXT-3112-XY-CMJ;XY-CMJ;0;0;0;0;1;01-01-2013;0.0;10.81
010113-NRN-DRS-5149-XY-NHZ;XY-NHZ;0;0;0;0;1;01-01-2013;0.0;10.81
010113-NUE-KRK-4633-XY-PZC;XY-PZC;2;1;1;39;0;01-01-2013;0.0;0.47
010113-SNN-AGP-1686-XY-LQZ;XY-LQZ;0;0;0;0;1;01-01-2013;7.42;0.0
010113-VIE-RVN-8848-XY-YTM;XY-YTM;0;0;0;0;1;01-01-2013;0.0;0.47
010114-AER-BHX-5419-XY-MBJ;XY-MBJ;0;0;0;0;1;01-01-2014;0.0;809.87
010114-BOO-KUN-8256-XY-YAZ;XY-YAZ;0;0;0;0;1;01-01-2014;0.0;10.81
010114-BRU-SDR-9315-XY-LQZ;XY-LQZ;0;0;0;0;1;01-01-2014;0.0;1427.48
010114-BRU-TSE-3624-XY-IWX;XY-IWX;2;1;1;27;0;01-01-2014;0.0;10.81
010114-CHQ-BRQ-7247-XY-OFW;XY-OFW;1;1;1;9;0;01-01-2014;22.15;0.0
010114-FLR-BVA-1711-XY-IOO;XY-IOO;0;0;0;0;1;01-01-2014;0.0;936.3
010114-JMK-RUN-4125-XY-IOO;XY-IOO;2;1;1;43;0;01-01-2014;0.0;936.3
010114-JTR-BDS-8936-XY-OHF;XY-OHF;0;0;0;0;1;02-01-2014;0.0;0.47
010114-KTW-BHX-9539-XY-OZH;XY-OZH;1;1;1;18;0;01-01-2014;0.0;10.81
010114-LCY-SOF-2934-XY-JXR;XY-JXR;0;0;0;0;1;01-01-2014;0.0;389.88
010114-LGG-OPO-7848-XY-FBA;XY-FBA;2;1;1;49;0;01-01-2014;10.17;0.0
010114-LIL-BGO-6443-XY-ZDY;XY-ZDY;3;1;1;49;0;01-01-2014;0.0;10.81
010114-MST-LCY-9671-XY-IWX;XY-IWX;0;0;0;0;1;01-01-2014;0.0;10.81
010114-MXP-BGO-2984-XY-JXR;XY-JXR;0;0;0;0;1;01-01-2014;0.0;389.88
010114-RHO-HAM-1497-XY-NMY;XY-NMY;0;0;0;0;1;01-01-2014;0.0;10.81
010114-RIX-EMA-7477-XY-IOO;XY-IOO;0;0;0;0;1;01-01-2014;0.0;936.3
010114-SUF-GLA-3128-XY-PZC;XY-PZC;0;1;0;0;0;01-01-2014;0.0;0.47
010114-TIV-XRY-5898-XY-CMJ;XY-CMJ;0;0;0;0;1;01-01-2014;235.73;0.0
010114-TLL-VAR-7236-XY-ALV;XY-ALV;2;1;1;12;0;01-01-2014;0.0;10.81
010114-VLC-PMO-2812-XY-ZMF;XY-ZMF;1;1;1;39;0;01-01-2014;36.05;0.0
010115-AHO-GRZ-4672-XY-OFW;XY-OFW;0;0;0;0;1;01-01-2015;0.0;10.81
010115-ALA-GDN-8318-XY-ZWJ;XY-ZWJ;0;0;0;0;1;01-01-2015;0.0;0.47
010115-BCN-BIO-8951-XY-NMY;XY-NMY;0;0;0;0;1;01-01-2015;0.0;126.63
010115-CWL-GRZ-8663-XY-ZMF;XY-ZMF;3;1;1;49;0;01-01-2015;0.0;1881.53
010115-EDI-GOA-4457-XY-YAZ;XY-YAZ;1;1;1;10;0;01-01-2015;0.0;10.81
010115-EGC-CFU-6919-XY-OFW;XY-OFW;0;0;0;0;1;01-01-2015;0.0;10.81
010115-FKB-MAD-6885-XY-NMY;XY-NMY;0;0;0;0;1;01-01-2015;0.0;126.63
010115-INI-GRQ-5536-XY-FBA;XY-FBA;0;0;0;0;1;01-01-2015;0.0;0.47
010115-LUG-RTM-9928-XY-NHZ;XY-NHZ;3;1;1;28;0;01-01-2015;0.0;10.81
010115-MAD-TSF-2673-XY-MBJ;XY-MBJ;0;0;0;0;1;01-01-2015;0.0;10.81
010115-MST-SOU-2233-XY-OFW;XY-OFW;3;1;1;28;0;01-01-2015;0.0;10.81
010115-NRN-CTA-6256-XY-YTM;XY-YTM;0;0;0;0;1;01-01-2015;0.0;10.81
010115-PIK-INN-7675-XY-ZWJ;XY-ZWJ;0;0;0;0;1;01-01-2015;0.0;0.47
010115-RUN-HER-9226-XY-ZDY;XY-ZDY;0;1;0;0;0;01-01-2015;24.0;0.0
010115-SVQ-LYS-3894-XY-FBA;XY-FBA;3;1;0;0;0;01-01-2015;0.0;0.47
010115-VRN-GRO-7466-XY-NHZ;XY-NHZ;3;1;1;12;0;01-01-2015;0.0;10.81
010115-ZAG-PRN-2487-XY-ALV;XY-ALV;0;0;0;0;1;01-01-2015;0.0;0.47
010115-ZAZ-MRS-2353-XY-ZWJ;XY-ZWJ;0;0;0;0;1;01-01-2015;0.0;0.47
010116-ABZ-HHN-5213-XY-IOO;XY-IOO;2;1;1;36;0;01-01-2016;0.0;10.81
010116-ADA-POZ-8748-XY-OFW;XY-OFW;0;0;0;0;1;01-01-2016;0.0;72.72
010116-AER-CDG-8848-XY-YTM;XY-YTM;0;1;1;25;0;01-01-2016;0.0;1957.32
010116-AER-LIN-1763-XY-ZDY;XY-ZDY;0;0;0;0;1;01-01-2016;0.0;10.81
010116-ALC-DLM-1758-XY-ZWJ;XY-ZWJ;0;0;0;0;1;01-01-2016;0.0;10.81
010116-ARN-SOF-2811-XY-OZH;XY-OZH;1;1;1;22;0;01-01-2016;24.0;0.0
010116-BLL-ESB-3736-XY-PZC;XY-PZC;0;0;0;0;1;01-01-2016;0.0;10.81
010116-CAG-KEF-5126-XY-MBJ;XY-MBJ;1;1;1;28;0;01-01-2016;0.0;10.81
010116-DME-TGD-8561-XY-LQZ;XY-LQZ;3;1;1;46;0;01-01-2016;0.0;0.47
010116-DTM-RHO-1363-XY-NHZ;XY-NHZ;3;1;1;16;0;01-01-2016;0.0;0.47
010116-DUS-NUE-4532-XY-ZWJ;XY-ZWJ;2;1;1;48;0;01-01-2016;0.0;10.81
010116-EVN-BVA-7213-XY-IWX;XY-IWX;0;0;0;0;1;01-01-2016;0.0;10.81
010116-EXT-KRK-6824-XY-LYP;XY-LYP;0;0;0;0;1;01-01-2016;0.0;10.81
010116-FMM-PAD-7549-XY-NMY;XY-NMY;0;0;0;0;1;01-01-2016;0.0;1948.62
010116-GYD-RTM-2827-XY-YTM;XY-YTM;3;1;1;46;0;01-01-2016;0.0;1957.32
010116-HHN-BER-1675-XY-FBA;XY-FBA;0;1;1;29;0;01-01-2016;0.0;10.81
010116-JTR-BGY-7764-XY-PZC;XY-PZC;0;0;0;0;1;01-01-2016;0.0;10.81
010116-LUG-ADA-2961-XY-JXR;XY-JXR;0;0;0;0;1;02-01-2016;0.0;10.81
010116-LYS-AYT-9928-XY-FBA;XY-FBA;0;0;0;0;1;01-01-2016;0.0;10.81
010116-MLA-ESB-8333-XY-NMY;XY-NMY;0;0;0;0;1;01-01-2016;0.0;1948.62
010116-OSL-LUG-8463-XY-JXR;XY-JXR;1;1;1;42;0;01-01-2016;0.0;10.81
010116-RIX-DRS-1767-XY-ALV;XY-ALV;3;1;1;31;0;01-01-2016;443.37;0.0
010116-RUN-TSF-4439-XY-OZH;XY-OZH;0;0;0;0;1;02-01-2016;688.55;0.0
010116-SPC-LGW-2235-XY-OFW;XY-OFW;1;1;1;45;0;01-01-2016;0.0;72.72
010116-SVO-DME-3573-XY-ZDY;XY-ZDY;0;0;0;0;1;01-01-2016;0.0;10.81
010116-SXF-ACE-1436-XY-OHF;XY-OHF;2;1;1;16;0;01-01-2016;230.87;0.0
010116-TSR-GVA-8989-XY-NHZ;XY-NHZ;2;1;1;30;0;01-01-2016;0.0;0.47
010116-TZX-SXF-7682-XY-FBA;XY-FBA;0;0;0;0;1;01-01-2016;0.0;10.81
010116-VAA-MPL-4928-XY-ZDY;XY-ZDY;0;0;0;0;1;01-01-2016;0.0;10.81
010117-ADA-TIV-3999-XY-LYP;XY-LYP;0;0;0;0;1;01-01-2017;0.0;10.81
010117-BIQ-PIK-8538-XY-LQZ;XY-LQZ;0;0;0;0;1;01-01-2017;0.0;10.81
010117-BOD-RVN-2379-XY-IOO;XY-IOO;2;1;1;34;0;01-01-2017;0.0;0.47
010117-CPH-MMX-7647-XY-LQZ;XY-LQZ;0;1;1;26;0;01-01-2017;0.0;10.81
010117-EVN-VAR-1114-XY-OZH;XY-OZH;0;0;0;0;1;01-01-2017;0.0;0.47
010117-FLR-TZL-5754-XY-PZC;XY-PZC;0;1;1;47;0;01-01-2017;0.0;10.81
010117-GLA-TPS-9472-XY-FBA;XY-FBA;0;0;0;0;1;01-01-2017;0.0;0.47
010117-GOT-PSR-6476-XY-NHZ;XY-NHZ;3;1;0;0;0;01-01-2017;0.0;0.47
010117-HER-SPU-4263-XY-OFW;XY-OFW;2;1;1;14;0;01-01-2017;0.0;145.57
010117-OVD-BMA-8132-XY-YTM;XY-YTM;3;1;1;45;0;01-01-2017;0.0;10.81
010117-RHO-OSL-1172-XY-OZH;XY-OZH;1;1;1;23;0;01-01-2017;0.0;0.47
010117-TLN-NTE-7214-XY-PZC;XY-PZC;0;0;0;0;1;01-01-2017;0.0;10.81
010117-TLS-EIN-1445-XY-IWX;XY-IWX;0;0;0;0;1;01-01-2017;0.0;1392.6
010210-BER-VRN-2474-XY-ALV;XY-ALV;1;1;1;18;0;01-02-2010;0.0;10.81
010210-BOD-TLN-8376-XY-IWX;XY-IWX;0;0;0;0;1;02-02-2010;24.0;0.0
010210-CWL-BOJ-7917-XY-NHZ;XY-NHZ;0;0;0;0;1;01-02-2010;0.0;0.47
010210-DME-BRE-7816-XY-ALV;XY-ALV;0;0;0;0;1;01-02-2010;0.0;10.81
010210-GRO-LGW-8987-XY-YTM;XY-YTM;0;0;0;0;1;01-02-2010;0.0;0.47
010210-HHN-GRQ-5834-XY-LQZ;XY-LQZ;0;0;0;0;1;01-02-2010;0.0;10.81
010210-IEV-OLB-6112-XY-YAZ;XY-YAZ;0;0;0;0;1;01-02-2010;0.0;0.47
010210-MRS-LEI-9951-XY-ZDY;XY-ZDY;0;1;1;26;0;01-02-2010;0.0;10.81
010210-NCE-IST-6473-XY-YAZ;XY-YAZ;0;0;0;0;1;01-02-2010;0.0;0.47
010210-NYO-SVX-8662-XY-NHZ;XY-NHZ;0;0;0;0;1;01-02-2010;0.0;0.47
010210-ODS-KEF-9358-XY-JXR;XY-JXR;0;0;0;0;1;01-02-2010;0.0;1276.5
010210-SAW-TSF-9657-XY-OHF;XY-OHF;3;1;1;30;0;01-02-2010;0.0;10.81
010210-SNN-DLM-9476-XY-IOO;XY-IOO;0;0;0;0;1;01-02-2010;0.0;1721.15
010210-SXF-EIN-4891-XY-FBA;XY-FBA;2;1;1;16;0;01-02-2010;0.0;10.81
010210-TRF-SAW-1797-XY-ZWJ;XY-ZWJ;0;0;0;0;1;01-02-2010;0.0;10.81
010210-TZL-BRQ-3627-XY-CMJ;XY-CMJ;0;1;1;24;0;01-02-2010;0.0;0.47
010210-TZX-PAD-2131-XY-NHZ;XY-NHZ;0;0;0;0;1;01-02-2010;0.0;0.47
010211-AER-DME-9518-XY-PZC;XY-PZC;0;0;0;0;1;01-02-2011;0.0;10.81
010211-BIA-BOD-8247-XY-JXR;XY-JXR;0;0;0;0;1;01-02-2011;0.0;424.77
010211-BIQ-KLU-8658-XY-OHF;XY-OHF;0;0;0;0;1;01-02-2011;0.0;10.81
010211-BOJ-ACE-4362-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2011;0.0;10.81
010211-BRQ-STR-3813-XY-ZDY;XY-ZDY;0;0;0;0;1;01-02-2011;0.0;10.81
010211-DUB-DSA-2325-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2011;0.0;10.81
010211-GOT-NAP-7763-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2011;0.0;10.81
010211-GRZ-SZG-1827-XY-ZDY;XY-ZDY;3;1;1;31;0;01-02-2011;0.0;10.81
010211-KEF-SPU-9753-XY-JXR;XY-JXR;0;0;0;0;1;01-02-2011;0.0;424.77
010211-LEJ-ZAZ-8836-XY-IWX;XY-IWX;0;1;1;19;0;01-02-2011;0.0;0.47
010211-MXP-SZG-3449-XY-JXR;XY-JXR;0;0;0;0;1;01-02-2011;0.0;424.77
010211-NCL-JMK-5313-XY-LYP;XY-LYP;0;1;1;14;0;01-02-2011;0.0;10.81
010211-NUE-SUF-9777-XY-IOO;XY-IOO;1;1;1;36;0;01-02-2011;0.0;10.81
010211-REU-SVX-1852-XY-CMJ;XY-CMJ;1;1;1;40;0;01-02-2011;0.0;0.47
010211-RTM-GOT-6499-XY-OFW;XY-OFW;1;1;1;29;0;01-02-2011;0.0;702.77
010211-SKG-KRK-8993-XY-ZMF;XY-ZMF;0;0;0;0;1;01-02-2011;22.7;0.0
010211-SVQ-FUE-5758-XY-LYP;XY-LYP;1;1;1;19;0;01-02-2011;0.0;10.81
010211-TBS-PMI-8638-XY-CMJ;XY-CMJ;1;1;1;48;0;01-02-2011;0.0;0.47
010211-TLN-MAD-4659-XY-OFW;XY-OFW;0;1;1;8;0;01-02-2011;0.0;702.77
010211-TZL-OTP-3726-XY-YAZ;XY-YAZ;0;0;0;0;1;01-02-2011;20.85;0.0
010212-AAR-HER-4293-XY-FBA;XY-FBA;2;1;1;36;0;01-02-2012;24.0;0.0
010212-ADB-SPC-4635-XY-NMY;XY-NMY;0;0;0;0;1;01-02-2012;0.0;0.47
010212-BLL-RVN-1912-XY-MBJ;XY-MBJ;0;0;0;0;1;01-02-2012;453.33;0.0
010212-BOJ-CIA-3322-XY-PZC;XY-PZC;0;0;0;0;1;01-02-2012;0.0;0.47
010212-BRI-TZL-3851-XY-YTM;XY-YTM;0;0;0;0;1;01-02-2012;0.0;1906.88
010212-CDG-AYT-1897-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2012;409.18;0.0
010212-DBV-BOO-9854-XY-YAZ;XY-YAZ;0;0;0;0;1;01-02-2012;614.22;0.0
010212-EDI-SVX-6367-XY-IOO;XY-IOO;0;0;0;0;1;01-02-2012;0.0;0.47
010212-FNC-JER-5762-XY-YTM;XY-YTM;0;0;0;0;1;01-02-2012;0.0;1906.88
010212-GOA-REU-9121-XY-OHF;XY-OHF;0;0;0;0;1;01-02-2012;0.0;10.81
010212-LWO-VCE-6126-XY-LQZ;XY-LQZ;3;1;1;21;0;01-02-2012;0.0;1008.97
010212-NCE-BIA-2733-XY-OZH;XY-OZH;0;1;0;0;0;01-02-2012;24.0;0.0
010212-ORY-TZL-2645-XY-ZWJ;XY-ZWJ;0;0;0;0;1;01-02-2012;0.0;10.81
010212-PEG-VST-1751-XY-YTM;XY-YTM;0;0;0;0;1;01-02-2012;0.0;1906.88
010212-PFO-FCO-9937-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2012;409.18;0.0
010212-RNS-LYS-7323-XY-FBA;XY-FBA;3;1;1;30;0;01-02-2012;24.0;0.0
010212-SVO-ZAG-1534-XY-ALV;XY-ALV;0;0;0;0;1;01-02-2012;10.32;0.0
010212-TSF-LPA-7142-XY-ALV;XY-ALV;0;0;0;0;1;01-02-2012;10.32;0.0
010212-VKO-DUB-2952-XY-IOO;XY-IOO;0;0;0;0;1;01-02-2012;0.0;0.47
010212-VLC-LPL-6281-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2012;409.18;0.0
010213-ABZ-SUF-7442-XY-MBJ;XY-MBJ;2;1;1;38;0;01-02-2013;0.0;0.47
010213-BIO-FKB-8731-XY-JXR;XY-JXR;1;1;1;13;0;01-02-2013;16.82;0.0
010213-BRI-BTS-2194-XY-NMY;XY-NMY;0;0;0;0;1;01-02-2013;0.0;893.93
010213-BRN-FKB-5133-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2013;0.0;10.81
010213-BVA-TZL-7625-XY-LQZ;XY-LQZ;2;1;1;33;0;01-02-2013;84.82;0.0
010213-CLJ-FRA-7371-XY-ZWJ;XY-ZWJ;0;1;0;0;0;01-02-2013;0.0;1677.83
010213-DEB-EDI-4347-XY-NHZ;XY-NHZ;1;1;1;39;0;01-02-2013;0.0;932.18
010213-DTM-FKB-9624-XY-OZH;XY-OZH;2;1;0;0;0;01-02-2013;0.0;723.5
010213-MAD-SCQ-1748-XY-CMJ;XY-CMJ;0;0;0;0;1;01-02-2013;0.0;10.81
010213-PMI-BGO-1818-XY-OFW;XY-OFW;2;1;1;7;0;01-02-2013;0.0;0.47
010213-TLS-ADA-1816-XY-CMJ;XY-CMJ;0;1;0;0;0;01-02-2013;0.0;10.81
010213-VIE-BGO-9551-XY-OZH;XY-OZH;1;1;1;18;0;01-02-2013;0.0;723.5
010213-VIE-VAR-7688-XY-ZDY;XY-ZDY;2;1;1;41;0;01-02-2013;0.0;0.47
010213-VKO-BVA-6398-XY-OHF;XY-OHF;0;1;1;8;0;01-02-2013;449.32;0.0
010213-VLC-ZRH-8493-XY-OZH;XY-OZH;1;1;1;13;0;01-02-2013;0.0;723.5
010213-ZAD-OST-9166-XY-ZDY;XY-ZDY;0;0;0;0;1;01-02-2013;0.0;0.47
010214-BHD-MST-9619-XY-OHF;XY-OHF;1;1;0;0;0;01-02-2014;0.0;40.67
010214-CGN-VAA-6374-XY-PZC;XY-PZC;0;0;0;0;1;01-02-2014;0.0;10.81
010214-EMA-PDL-7927-XY-JXR;XY-JXR;2;1;1;26;0;01-02-2014;319.07;0.0
010214-FAE-AYT-1635-XY-IWX;XY-IWX;0;0;0;0;1;01-02-2014;213.8;0.0
010214-FLR-AMS-5786-XY-YTM;XY-YTM;0;0;0;0;1;01-02-2014;24.0;0.0
010214-INI-LGG-7657-XY-YTM;XY-YTM;0;1;1;26;0;01-02-2014;24.0;0.0
010214-LPA-DUB-1421-XY-OFW;XY-OFW;0;0;0;0;1;01-02-2014;0.0;0.47
010214-MXP-SKG-5444-XY-IWX;XY-IWX;0;0;0;0;1;01-02-2014;213.8;0.0
010214-OLB-LNZ-7492-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2014;0.0;10.81
010214-OST-GLA-2551-XY-YTM;XY-YTM;0;1;1;8;0;01-02-2014;24.0;0.0
010214-OVD-PUY-4258-XY-MBJ;XY-MBJ;0;0;0;0;1;01-02-2014;24.0;0.0
010214-PEG-MST-4293-XY-YAZ;XY-YAZ;0;0;0;0;1;01-02-2014;0.0;10.81
010214-SEN-RVN-1292-XY-IWX;XY-IWX;1;1;1;29;0;01-02-2014;213.8;0.0
010214-VAR-BIA-8482-XY-NMY;XY-NMY;2;1;1;20;0;01-02-2014;0.0;0.47
010214-ZAG-PFO-5297-XY-ZWJ;XY-ZWJ;0;1;1;17;0;01-02-2014;0.0;827.23
010215-ADB-CWL-8246-XY-OFW;XY-OFW;0;0;0;0;1;01-02-2015;0.0;0.47
010215-AJA-CPH-3757-XY-YAZ;XY-YAZ;0;0;0;0;1;01-02-2015;0.0;0.47
010215-BMA-VCE-8428-XY-OZH;XY-OZH;1;1;1;20;0;01-02-2015;0.0;0.47
010215-FLR-ZAD-1175-XY-ALV;XY-ALV;3;1;1;33;0;01-02-2015;0.0;10.81
010215-FMM-FNC-5229-XY-ZDY;XY-ZDY;2;1;1;16;0;01-02-2015;488.3;0.0
010215-FNC-NYO-7822-XY-FBA;XY-FBA;2;1;1;31;0;01-02-2015;0.0;10.81
010215-FNC-OVB-3512-XY-OZH;XY-OZH;0;0;0;0;1;01-02-2015;0.0;0.47
010215-GRZ-LIL-5489-XY-JXR;XY-JXR;4;1;1;44;0;02-02-2015;0.0;10.81
010215-LWO-TZL-2199-XY-NMY;XY-NMY;1;1;1;40;0;01-02-2015;0.0;0.47
010215-MSQ-BGO-3753-XY-YTM;XY-YTM;0;1;1;28;0;01-02-2015;0.0;0.47
010215-NRN-OLB-1245-XY-NHZ;XY-NHZ;0;0;0;0;1;01-02-2015;0.0;0.47
010215-NYO-GRO-3314-XY-LYP;XY-LYP;0;0;0;0;1;01-02-2015;0.0;10.81
010215-ORY-KIR-4228-XY-OHF;XY-OHF;0;0;0;0;1;01-02-2015;24.0;0.0
010215-RHO-LIN-2973-XY-LQZ;XY-LQZ;0;0;0;0;1;01-02-2015;17.82;0.0
010215-RIX-HEL-8329-XY-NMY;XY-NMY;1;1;1;28;0;01-02-2015;0.0;0.47
010215-RMU-ZRH-7186-XY-CMJ;XY-CMJ;0;0;0;0;1;01-02-2015;0.0;1245.15
010215-TSR-ESB-5761-XY-NMY;XY-NMY;3;1;1;29;0;01-02-2015;0.0;0.47
010216-ACE-CIY-4112-XY-PZC;XY-PZC;0;0;0;0;1;01-02-2016;0.0;10.81
010216-BUD-LBA-8328-XY-JXR;XY-JXR;2;1;1;18;0;01-02-2016;0.0;0.47
010216-DTM-PEG-8244-XY-ALV;XY-ALV;1;1;1;20;0;01-02-2016;98.55;0.0
010216-FMM-VCE-3857-XY-ZWJ;XY-ZWJ;0;0;0;0;1;01-02-2016;428.42;0.0
010216-FSC-TIV-1569-XY-YAZ;XY-YAZ;0;1;1;39;0;01-02-2016;0.0;1508.02
010216-HAM-VCE-8868-XY-ALV;XY-ALV;0;0;0;0;1;01-02-2016;98.55;0.0
010216-KEF-CWL-5481-XY-CMJ;XY-CMJ;0;0;0;0;1;01-02-2016;0.0;0.47
010216-KGS-GRQ-2685-XY-OHF;XY-OHF;0;0;0;0;1;01-02-2016;0.0;10.81
010216-LUG-KSC-2447-XY-IWX;XY-IWX;0;0;0;0;1;01-02-2016;0.0;0.47
010216-MMX-PMI-1136-XY-YAZ;XY-YAZ;0;0;0;0;1;01-02-2016;0.0;1508.02
010216-TIV-CFU-9316-XY-ZMF;XY-ZMF;1;1;1;41;0;01-02-2016;0.0;1269.47
010216-TPS-FKB-2855-XY-YTM;XY-YTM;0;0;0;0;1;01-02-2016;0.0;1071.47
