AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;date;AMOS_scheduledOutOfService;AMOS_unscheduledOutOfService
XY-MBJ;0;0;0;0;2;06-08-2014;0;22
XY-MBJ;0;0;0;0;1;06-08-2013;24;0
XY-NMY;0;0;0;0;1;29-09-2011;0;1524
XY-MBJ;3;1;1;20;0;06-08-2011;0;2108
XY-NMY;0;0;0;0;2;29-09-2010;0;1
XY-MBJ;0;1;1;28;1;06-08-2010;197;0
XY-MBJ;0;1;1;10;0;06-08-2016;657;0
XY-NMY;0;0;0;0;2;29-09-2013;638;0
XY-NMY;0;0;0;0;2;29-09-2015;0;1
XY-YAZ;0;0;0;0;2;22-08-2012;48;0
XY-YAZ;0;1;1;20;0;22-08-2010;19;0
XY-OZH;1;1;1;31;1;03-10-2011;0;3094
XY-OZH;0;0;0;0;1;03-10-2012;0;11
XY-OZH;2;1;1;10;0;03-10-2015;19;0
XY-YTM;0;0;0;0;1;04-12-2016;589;0
XY-OZH;0;0;0;0;2;03-10-2016;0;1
XY-OZH;0;1;1;33;1;03-10-2014;0;974
XY-LQZ;3;1;1;34;0;24-02-2010;0;11
XY-NMY;1;1;1;7;2;11-07-2016;0;1
XY-NMY;0;0;0;0;1;11-07-2013;494;0
XY-FBA;0;0;0;0;2;31-08-2015;0;4188
XY-NMY;1;1;1;35;0;11-07-2014;2;0
XY-FBA;2;1;1;13;0;31-08-2016;0;0
XY-NMY;0;0;0;0;1;11-07-2011;0;933
XY-LQZ;0;0;0;0;2;24-02-2013;0;1
XY-NMY;0;0;0;0;1;11-07-2012;0;1566
XY-LQZ;1;1;1;14;0;24-02-2015;230;0
XY-LQZ;0;0;0;0;1;24-02-2016;0;0
XY-LYP;2;1;0;0;1;25-08-2015;0;1
XY-LYP;1;1;1;49;0;25-08-2011;0;11
XY-LYP;0;0;0;0;3;25-08-2010;1954;0
XY-FBA;4;1;1;46;2;21-05-2013;2116;0
XY-FBA;0;0;0;0;1;21-05-2014;0;0
XY-FBA;1;1;1;13;1;21-05-2012;1226;0
XY-FBA;3;1;1;18;0;21-05-2015;9;0
XY-ALV;0;0;0;0;1;06-10-2012;24;0
XY-ALV;2;2;2;32;1;06-10-2016;311;0
XY-IOO;1;1;0;0;1;27-03-2011;48;0
XY-YTM;0;0;0;0;2;04-12-2011;0;22
XY-FBA;1;1;1;27;0;18-12-2013;0;11
XY-IOO;0;0;0;0;2;27-03-2012;556;0
XY-IOO;0;0;0;0;1;27-03-2014;0;0
XY-YTM;1;1;1;14;0;04-12-2010;0;92
XY-IOO;0;0;0;0;1;27-03-2010;600;0
XY-LQZ;1;1;1;36;0;13-10-2012;24;0
XY-ZMF;1;1;0;0;1;26-02-2011;204;0
XY-LQZ;0;1;1;20;1;13-10-2011;0;1
XY-LQZ;0;0;0;0;1;13-10-2016;0;0
XY-ZMF;3;1;1;7;0;26-02-2016;24;0
XY-IOO;0;0;0;0;1;27-03-2015;0;11
XY-IOO;1;1;1;30;0;27-03-2016;92;0
XY-LQZ;0;0;0;0;1;13-10-2014;0;11
XY-PZC;0;2;2;71;0;05-11-2015;0;2870
XY-PZC;0;0;0;0;1;05-11-2016;0;11
XY-FBA;0;0;0;0;4;18-12-2016;0;5694
XY-PZC;0;0;0;0;1;05-11-2010;24;0
XY-JXR;1;1;1;15;2;01-10-2016;1788;0
XY-NMY;0;1;1;43;0;23-02-2012;0;11
XY-JXR;0;1;1;29;0;01-10-2015;0;0
XY-NMY;2;1;1;40;0;23-02-2014;0;1243
XY-NMY;0;0;0;0;1;23-02-2015;0;1718
XY-NMY;0;0;0;0;1;23-02-2016;0;1177
XY-JXR;0;0;0;0;1;01-10-2010;603;0
XY-OHF;0;0;0;0;2;21-10-2016;0;3583
XY-NMY;3;1;1;13;0;02-03-2015;0;11
XY-OHF;0;0;0;0;1;21-10-2011;0;11
XY-OHF;2;1;1;17;2;21-10-2012;1106;0
XY-FBA;2;1;1;47;0;21-05-2010;0;0
XY-NMY;2;1;1;9;0;02-03-2011;0;11
XY-NMY;0;0;0;0;1;02-03-2012;0;11
XY-YAZ;0;0;0;0;1;09-12-2010;24;0
XY-YAZ;0;0;0;0;2;09-12-2016;0;580
XY-OFW;0;1;0;0;0;12-02-2016;0;11
XY-OFW;1;1;1;13;0;12-02-2014;0;1652
XY-OHF;0;1;1;11;0;20-07-2016;0;663
XY-OHF;2;1;0;0;0;20-07-2015;0;0
XY-NHZ;0;0;0;0;1;05-10-2010;3;0
XY-NHZ;0;0;0;0;1;05-10-2016;0;1864
XY-NHZ;1;1;1;22;1;05-10-2015;0;22
XY-NHZ;0;0;0;0;2;05-10-2014;0;3501
XY-OHF;3;1;1;45;0;28-06-2016;24;0
XY-OHF;1;1;1;39;0;28-06-2014;0;11
XY-OHF;2;1;1;9;1;20-07-2013;0;1976
XY-OHF;0;0;0;0;1;20-07-2012;4;0
XY-OHF;2;1;1;45;1;20-07-2010;873;0
XY-MBJ;2;1;1;40;1;20-11-2011;0;1
XY-MBJ;1;1;0;0;1;20-11-2013;11;0
XY-MBJ;0;0;0;0;1;20-11-2014;357;0
XY-ZWJ;0;1;1;13;0;05-04-2010;0;0
XY-MBJ;0;0;0;0;2;20-11-2016;48;0
XY-YAZ;1;1;0;0;2;08-09-2013;0;1
XY-LQZ;0;0;0;0;1;02-04-2010;0;11
XY-LQZ;1;1;1;47;0;02-04-2013;0;0
XY-LQZ;2;1;1;31;1;02-04-2011;0;22
XY-YAZ;0;0;0;0;2;08-09-2015;0;22
XY-YAZ;0;0;0;0;1;23-11-2015;0;11
XY-YAZ;0;0;0;0;1;23-11-2016;0;0
XY-LQZ;0;1;1;25;1;02-04-2015;0;863
XY-YAZ;0;0;0;0;2;23-11-2011;0;1
XY-YAZ;0;1;1;32;1;08-09-2010;0;1
XY-YAZ;0;0;0;0;2;23-11-2010;0;22
XY-OHF;0;0;0;0;1;28-06-2012;24;0
XY-FBA;0;0;0;0;1;17-09-2015;514;0
XY-FBA;0;1;1;10;0;17-09-2012;0;0
XY-FBA;0;0;0;0;2;17-09-2013;47;0
XY-FBA;3;1;1;44;1;17-09-2011;13;0
XY-FBA;3;1;1;39;0;17-09-2016;24;0
XY-ZWJ;0;0;0;0;1;05-04-2016;0;2032
XY-OFW;6;3;2;74;0;21-06-2016;72;0
XY-OFW;0;0;0;0;1;21-06-2015;0;11
XY-ZWJ;1;1;1;13;1;05-04-2013;0;1
XY-ZWJ;4;1;1;17;0;05-04-2014;24;0
XY-OHF;0;0;0;0;1;10-04-2011;14;0
XY-OHF;2;1;1;26;0;10-04-2010;3;0
XY-OFW;0;0;0;0;1;21-06-2014;10;0
XY-OHF;3;2;2;48;1;10-04-2016;72;0
XY-OFW;0;0;0;0;1;21-06-2013;0;300
XY-OFW;4;1;1;41;0;21-06-2012;24;0
XY-OHF;0;1;1;17;0;10-04-2014;0;11
XY-OFW;0;0;0;0;1;21-06-2011;0;0
XY-MBJ;0;0;0;0;1;07-11-2015;0;11
XY-MBJ;1;1;1;29;0;07-11-2016;0;326
XY-OZH;0;2;1;8;0;02-07-2013;0;1
XY-OZH;2;3;2;35;0;02-07-2010;1516;0
XY-OFW;1;1;0;0;1;08-06-2011;0;22
XY-OFW;4;2;2;57;0;08-06-2010;0;22
XY-OZH;2;1;0;0;0;02-07-2016;24;0
XY-OZH;2;1;1;43;0;02-07-2014;114;0
XY-YTM;0;0;0;0;2;16-03-2014;169;0
XY-YTM;3;1;1;34;1;16-03-2015;0;22
XY-YTM;0;0;0;0;1;16-03-2010;625;0
XY-JXR;3;1;1;48;1;13-01-2010;153;0
XY-JXR;2;1;1;31;1;13-01-2011;881;0
XY-OHF;0;1;1;38;0;07-07-2015;0;11
XY-JXR;3;1;1;45;1;13-01-2013;0;1
XY-OHF;1;1;1;42;0;07-07-2016;0;1905
XY-JXR;0;1;1;29;1;13-01-2014;0;2906
XY-NMY;2;1;1;32;0;19-06-2013;0;0
XY-OFW;3;1;1;39;0;18-09-2016;0;11
XY-ZWJ;0;0;0;0;1;27-02-2015;24;0
XY-OFW;0;0;0;0;1;18-09-2014;24;0
XY-NMY;0;0;0;0;1;19-06-2014;461;0
XY-OFW;3;1;1;45;0;18-09-2013;0;0
XY-ZWJ;0;1;1;15;1;27-02-2013;0;22
XY-OFW;1;1;1;9;1;18-09-2012;0;1
XY-NMY;0;0;0;0;1;19-06-2011;5;0
XY-ZWJ;0;0;0;0;1;27-02-2011;0;929
XY-OFW;0;0;0;0;1;18-09-2010;0;0
XY-ZMF;2;1;1;10;0;15-10-2010;0;11
XY-NMY;0;1;1;21;0;19-06-2016;0;11
XY-ZMF;0;0;0;0;1;15-10-2012;0;0
XY-ZMF;1;2;1;18;0;15-10-2015;1087;0
XY-ZMF;0;0;0;0;1;15-10-2014;5;0
XY-ZMF;0;0;0;0;1;15-10-2016;355;0
XY-LYP;3;1;1;32;0;05-02-2016;0;11
XY-ZWJ;0;1;1;21;1;15-07-2013;0;3460
XY-ZWJ;1;1;1;34;0;15-07-2011;0;2094
XY-ZWJ;0;0;0;0;1;15-07-2010;133;0
XY-LYP;0;1;1;9;0;05-02-2013;0;0
XY-LYP;1;1;1;24;0;05-02-2012;0;11
XY-LYP;1;1;1;27;0;05-02-2014;0;1505
XY-LYP;3;2;2;57;0;05-02-2011;0;22
XY-LYP;0;0;0;0;1;05-02-2010;280;0
XY-YTM;0;0;0;0;1;04-08-2010;0;11
XY-ALV;2;1;1;39;1;26-06-2012;0;1
XY-ALV;0;0;0;0;2;26-06-2011;0;22
XY-YTM;1;1;1;43;0;04-08-2014;0;0
XY-ZWJ;0;0;0;0;1;15-07-2016;0;11
XY-JXR;3;2;2;63;0;12-02-2011;0;129
XY-JXR;0;0;0;0;1;12-02-2013;0;392
XY-JXR;2;1;1;39;0;12-02-2016;24;0
XY-JXR;0;0;0;0;1;12-02-2015;0;0
XY-ALV;0;0;0;0;1;27-05-2014;0;0
XY-ALV;0;0;0;0;1;27-05-2011;35;0
XY-ALV;0;1;1;18;1;27-05-2016;0;1
XY-OHF;3;1;1;8;1;07-07-2010;0;45
XY-OHF;0;0;0;0;2;07-07-2012;45;0
XY-ALV;2;1;1;26;0;26-06-2016;0;11
XY-ALV;3;1;1;35;0;26-06-2015;24;0
XY-ALV;0;1;1;30;1;26-06-2014;34;0
XY-ALV;0;0;0;0;1;26-06-2013;0;339
XY-YAZ;3;1;1;43;2;22-12-2010;0;1
XY-JXR;2;1;1;42;0;08-06-2015;0;0
XY-IOO;0;0;0;0;1;15-08-2015;0;0
XY-JXR;0;0;0;0;1;08-06-2014;0;0
XY-IOO;1;1;1;15;0;15-08-2016;0;759
XY-YAZ;0;0;0;0;2;22-12-2016;0;22
XY-JXR;0;1;1;30;0;08-06-2016;420;0
XY-IOO;0;0;0;0;1;15-08-2014;220;0
XY-YAZ;0;0;0;0;1;03-01-2017;0;11
XY-YAZ;0;0;0;0;1;22-12-2014;0;11
XY-YAZ;0;0;0;0;1;03-01-2016;16;0
XY-JXR;0;0;0;0;1;08-06-2010;0;11
XY-YAZ;3;1;1;29;1;22-12-2013;48;0
XY-YAZ;0;1;1;11;2;22-12-2012;0;5892
XY-JXR;0;1;1;7;1;08-06-2012;27;0
XY-YAZ;0;0;0;0;1;22-12-2011;715;0
XY-YAZ;2;1;1;42;0;03-01-2012;0;0
XY-YAZ;2;2;1;27;1;03-01-2015;53;0
XY-YAZ;0;0;0;0;1;03-01-2014;23;0
XY-MBJ;0;1;1;29;0;21-10-2012;0;11
XY-MBJ;3;1;1;30;1;21-10-2011;0;1
XY-IOO;1;1;1;17;0;15-08-2010;0;0
XY-FBA;1;1;1;22;1;31-12-2012;0;1964
XY-MBJ;2;1;1;38;0;21-10-2016;19;0
XY-OZH;4;1;1;32;0;24-05-2013;0;0
XY-LYP;2;1;1;38;1;06-01-2013;0;4110
XY-MBJ;0;0;0;0;2;21-10-2014;0;1
XY-OZH;0;0;0;0;2;24-05-2014;0;1025
XY-OZH;0;0;0;0;1;24-05-2015;0;199
XY-OZH;0;1;1;43;0;24-05-2010;0;11
XY-OZH;0;0;0;0;1;24-05-2011;0;0
XY-IWX;0;0;0;0;1;08-03-2012;618;0
XY-ZMF;0;0;0;0;1;14-11-2016;0;11
XY-IWX;6;3;2;71;0;08-03-2010;1958;0
XY-LYP;1;1;1;33;1;06-01-2015;0;4013
XY-LYP;0;0;0;0;2;06-01-2014;0;1
XY-LQZ;4;2;1;8;0;03-03-2011;0;1
XY-LYP;0;0;0;0;1;06-01-2016;24;0
XY-LQZ;0;0;0;0;1;03-03-2014;0;278
XY-LQZ;3;1;1;38;0;03-03-2015;598;0
XY-IWX;0;0;0;0;1;08-03-2014;0;935
XY-ZMF;0;0;0;0;2;14-11-2010;0;404
XY-ZMF;2;1;1;34;0;14-11-2014;4;0
XY-ZMF;1;1;1;30;0;14-11-2015;0;0
XY-ZMF;0;0;0;0;1;14-11-2012;0;31
XY-ZMF;3;1;1;14;0;14-11-2013;24;0
XY-FBA;1;1;1;27;0;12-01-2015;0;213
XY-FBA;0;0;0;0;1;12-01-2016;0;0
XY-OHF;0;0;0;0;2;19-02-2010;48;0
XY-OFW;2;1;0;0;0;22-05-2015;24;0
XY-FBA;0;0;0;0;2;12-01-2013;0;1
XY-OFW;0;0;0;0;1;22-05-2014;24;0
XY-OFW;0;0;0;0;1;22-05-2013;404;0
XY-CMJ;0;0;0;0;2;11-07-2011;0;22
XY-OHF;3;1;1;31;0;19-02-2014;24;0
XY-CMJ;0;1;1;8;1;11-07-2014;0;22
XY-CMJ;0;1;1;32;0;11-07-2013;155;0
XY-OHF;1;1;1;39;0;19-02-2012;0;11
XY-ALV;0;1;1;40;0;31-01-2012;0;11
XY-CMJ;0;1;1;16;0;11-07-2015;0;11
XY-ALV;3;1;1;29;1;31-01-2013;0;22
XY-OHF;2;1;1;41;0;19-02-2016;0;1136
XY-OFW;1;1;0;0;1;22-05-2012;48;0
XY-FBA;0;0;0;0;1;12-01-2012;154;0
XY-OFW;2;1;1;12;0;22-05-2010;0;1421
XY-ALV;2;1;1;32;0;31-01-2014;0;11
XY-OHF;0;0;0;0;1;11-03-2011;0;0
XY-OHF;4;1;1;33;1;11-03-2015;48;0
XY-OHF;0;0;0;0;1;11-03-2013;24;0
XY-YTM;0;1;0;0;0;16-03-2016;24;0
XY-OHF;2;1;1;7;1;11-03-2012;0;1
XY-CMJ;0;0;0;0;2;12-06-2010;0;1212
XY-CMJ;0;0;0;0;1;12-06-2012;0;0
XY-CMJ;0;0;0;0;1;12-06-2014;0;1893
XY-CMJ;3;1;1;26;0;12-06-2013;0;11
XY-CMJ;0;0;0;0;1;12-06-2015;24;0
XY-MBJ;2;1;1;18;0;19-02-2016;0;11
XY-CMJ;1;1;0;0;0;23-02-2011;0;314
XY-MBJ;0;0;0;0;2;18-03-2010;552;0
XY-MBJ;6;3;3;78;0;18-03-2012;0;32
XY-MBJ;0;0;0;0;1;18-03-2014;0;11
XY-MBJ;3;1;1;27;0;18-03-2013;24;0
XY-MBJ;2;1;1;48;0;18-03-2015;0;0
XY-PZC;0;0;0;0;1;04-12-2010;0;0
XY-OHF;0;0;0;0;1;07-11-2011;0;2113
XY-OHF;1;1;0;0;1;07-11-2010;0;1
XY-OHF;0;0;0;0;1;07-11-2012;0;0
XY-OHF;3;1;1;23;0;07-11-2015;20;0
XY-OHF;1;1;1;34;1;07-11-2016;0;22
XY-MBJ;0;1;1;24;1;07-07-2016;0;22
XY-MBJ;0;1;1;10;0;07-07-2015;18;0
XY-MBJ;0;0;0;0;2;07-07-2013;0;289
XY-CMJ;0;0;0;0;1;24-01-2010;24;0
XY-IWX;0;0;0;0;1;10-11-2010;0;0
XY-CMJ;3;1;1;13;0;24-01-2012;14;0
XY-CMJ;0;0;0;0;1;23-12-2010;0;2098
XY-CMJ;3;2;1;12;0;23-12-2012;0;1
XY-CMJ;0;0;0;0;1;23-12-2015;39;0
XY-ZDY;1;1;1;19;0;23-04-2016;0;0
XY-CMJ;0;1;1;23;0;23-12-2016;0;1042
XY-ZDY;0;0;0;0;1;23-04-2015;0;11
XY-ZDY;1;1;1;18;0;23-04-2014;110;0
XY-ZDY;3;1;1;42;0;23-04-2012;0;0
XY-ZDY;0;0;0;0;1;23-04-2010;9;0
XY-CMJ;0;0;0;0;1;24-01-2016;14;0
XY-CMJ;0;0;0;0;2;24-01-2015;663;0
XY-NHZ;3;1;1;28;1;26-05-2012;19;0
XY-ZWJ;1;1;1;36;0;15-11-2015;0;685
XY-ZWJ;0;0;0;0;1;15-11-2016;0;11
XY-IWX;0;0;0;0;2;10-11-2012;0;1
XY-IWX;0;1;1;44;0;10-11-2014;24;0
XY-IWX;2;1;1;23;0;10-11-2013;0;470
XY-IWX;0;0;0;0;1;10-11-2016;23;0
XY-IWX;1;1;1;18;0;10-11-2015;0;0
XY-IWX;0;0;0;0;1;07-04-2013;0;0
XY-IWX;0;0;0;0;1;07-04-2014;0;616
XY-IWX;0;0;0;0;1;07-04-2011;3;0
XY-ZDY;0;0;0;0;1;19-08-2011;24;0
XY-ZDY;0;0;0;0;1;19-08-2012;0;11
XY-YTM;0;0;0;0;1;26-10-2016;24;0
XY-IWX;0;0;0;0;1;07-04-2016;0;0
XY-ZDY;3;1;1;48;0;19-08-2010;0;11
XY-IOO;0;1;0;0;1;14-09-2010;0;4011
XY-ZDY;0;0;0;0;1;11-09-2012;23;0
XY-ZDY;0;1;0;0;0;11-09-2015;24;0
XY-IOO;0;0;0;0;1;14-09-2014;0;0
XY-IWX;2;1;1;18;0;30-07-2010;0;11
XY-IOO;5;2;2;36;0;14-09-2013;48;0
XY-IOO;5;2;2;40;0;14-09-2011;0;22
XY-IWX;0;0;0;0;1;30-07-2015;0;667
XY-IWX;0;0;0;0;1;30-07-2012;34;0
XY-ZDY;0;1;1;12;2;11-09-2016;0;1
XY-IWX;0;0;0;0;3;30-07-2016;0;5084
XY-JXR;0;0;0;0;1;01-06-2015;506;0
XY-JXR;1;1;1;27;1;01-06-2016;48;0
XY-YTM;0;0;0;0;1;03-09-2013;0;0
XY-JXR;0;0;0;0;1;01-06-2013;538;0
XY-JXR;0;0;0;0;1;01-06-2014;0;11
XY-YTM;1;1;1;44;1;03-09-2015;0;22
XY-IOO;0;0;0;0;1;26-04-2015;0;0
XY-JXR;0;1;1;19;1;01-06-2011;1132;0
XY-IOO;1;1;1;29;0;26-04-2010;7;0
XY-IOO;0;0;0;0;2;26-04-2012;17;0
XY-YTM;0;1;0;0;0;03-09-2011;0;11
XY-IOO;4;1;1;47;0;26-04-2011;0;0
XY-JXR;3;1;0;0;0;09-05-2013;0;849
XY-JXR;0;0;0;0;2;09-05-2012;27;0
XY-JXR;3;1;0;0;0;09-05-2015;12;0
XY-JXR;0;1;1;39;0;09-05-2011;0;0
XY-PZC;0;0;0;0;2;17-02-2013;0;1
XY-PZC;2;1;1;21;0;17-02-2015;0;11
XY-LYP;0;0;0;0;2;24-09-2015;0;22
XY-JXR;2;2;2;47;0;09-05-2016;1350;0
XY-LYP;1;1;1;30;1;24-09-2011;0;1
XY-PZC;3;1;1;28;0;17-02-2011;24;0
XY-NHZ;1;1;1;40;0;30-01-2011;24;0
XY-NHZ;0;0;0;0;1;30-01-2010;0;11
XY-IOO;0;0;0;0;1;14-09-2016;0;269
XY-MBJ;0;1;1;21;0;19-02-2012;0;0
XY-MBJ;2;1;1;31;0;19-02-2011;0;11
XY-NHZ;0;0;0;0;1;30-01-2014;620;0
XY-MBJ;0;0;0;0;1;19-02-2014;0;11
XY-NHZ;2;1;0;0;0;30-01-2013;0;0
XY-YTM;2;1;1;16;0;15-04-2016;24;0
XY-YTM;0;0;0;0;1;15-04-2015;24;0
XY-YTM;0;0;0;0;2;15-04-2012;22;0
XY-YTM;2;1;0;0;0;15-04-2013;15;0
XY-YTM;0;0;0;0;1;15-04-2010;360;0
XY-YTM;1;2;2;70;0;15-04-2011;0;2957
XY-IWX;0;0;0;0;1;20-04-2010;0;11
XY-IWX;0;0;0;0;1;20-04-2014;0;11
XY-IWX;0;1;1;14;2;20-04-2012;72;0
XY-IWX;0;0;0;0;1;20-04-2013;12;0
XY-NMY;0;0;0;0;1;11-11-2014;0;0
XY-JXR;3;1;0;0;1;21-06-2016;0;1
XY-NMY;3;1;1;49;0;11-11-2012;21;0
XY-NMY;0;0;0;0;1;11-11-2011;5;0
XY-NMY;3;1;1;17;0;11-11-2010;24;0
XY-IWX;2;1;1;20;0;17-11-2013;475;0
XY-IWX;4;2;1;36;0;17-11-2015;0;2499
XY-IWX;3;1;1;29;1;17-11-2016;0;1
XY-OZH;3;1;1;11;1;13-03-2014;0;577
XY-OZH;4;2;2;93;1;13-03-2016;0;722
XY-IWX;0;0;0;0;2;17-11-2010;22;0
XY-IWX;2;1;1;49;0;17-11-2011;0;0
XY-ALV;0;0;0;0;1;06-06-2011;0;11
XY-ALV;0;0;0;0;2;06-06-2014;676;0
XY-ALV;0;0;0;0;4;06-06-2015;0;43
XY-OFW;2;1;0;0;1;19-02-2012;0;22
XY-OFW;0;0;0;0;1;19-02-2013;0;0
XY-FBA;1;1;0;0;0;09-04-2010;0;11
XY-FBA;2;1;1;16;0;09-04-2011;0;1432
XY-OFW;1;1;0;0;0;19-02-2015;0;0
XY-IWX;0;0;0;0;1;22-02-2013;0;1081
XY-IWX;0;0;0;0;1;22-02-2012;0;1888
XY-IWX;0;0;0;0;1;22-02-2014;0;0
XY-IWX;2;1;1;18;0;22-02-2016;0;11
XY-FBA;2;1;1;23;1;09-04-2016;0;22
XY-IWX;1;1;1;11;1;22-02-2011;4;0
XY-ZMF;1;1;1;30;2;05-03-2010;38;0
XY-ZMF;0;0;0;0;1;05-03-2011;23;0
XY-ZMF;0;1;0;0;1;05-03-2012;0;22
XY-ZMF;0;0;0;0;1;05-03-2014;24;0
XY-YTM;2;1;1;33;0;24-08-2014;0;1759
XY-YTM;4;1;1;43;1;24-08-2013;48;0
XY-YTM;3;3;3;56;1;24-08-2012;0;1288
XY-YTM;1;1;1;23;1;24-08-2011;0;508
XY-OHF;0;0;0;0;2;28-10-2013;329;0
XY-OHF;2;1;1;31;0;28-10-2012;0;859
XY-OHF;0;0;0;0;1;28-10-2010;0;995
XY-IWX;1;1;0;0;0;28-09-2011;0;0
XY-IWX;0;0;0;0;1;28-09-2012;0;0
XY-OHF;1;1;0;0;0;28-10-2016;0;0
XY-YTM;1;1;1;45;0;24-08-2016;7;0
XY-ALV;0;0;0;0;1;04-08-2015;24;0
XY-IOO;1;1;1;26;0;30-10-2015;0;2024
XY-IOO;0;0;0;0;1;30-10-2016;0;11
XY-IOO;2;1;1;16;1;30-10-2013;0;22
XY-IOO;0;1;1;32;0;30-10-2014;0;1732
XY-IOO;0;0;0;0;1;30-10-2011;0;11
XY-YTM;1;1;1;24;0;26-06-2015;19;0
XY-YTM;0;0;0;0;1;26-06-2013;0;986
XY-IOO;0;0;0;0;2;30-10-2010;0;1
